"Num","Title","Department","Category","Type","Price","Surface Area","Plot Area","Particuliers/Professionelles","Postal Code","Date-time","User-id","Link"
"1","Maison 6 pièces 145m²","Alsace"," Ventes immobilières ","Maison","368000","145","760.0","Particuliers","67370","08/03/2018  22:37","1378740688","www.leboncoin.fr/ventes_immobilieres/1378740688.htm?ca=1_s"
"Num","Title","Department","Category","Type","Price","Surface Area","Plot Area","Particuliers/Professionelles","Postal Code","Date-time","User-id","Link"
"1","Tres belle maison truchtersheim","Alsace"," Ventes immobilières ","Maison","398000","160","500.0","Particuliers","67370","20/03/2018  22:16","1403655615","www.leboncoin.fr/ventes_immobilieres/1403655615.htm?ca=1_s"
"2","Maison 6 pièces idéalement située","Alsace"," Ventes immobilières ","Maison","380000","140","2100.0","Particuliers","68500","20/03/2018  18:52","1023018530","www.leboncoin.fr/ventes_immobilieres/1023018530.htm?ca=1_s"
"3","QUARTIER SUD APPARTEMENT DE 170m2","Alsace"," Ventes immobilières ","Appartement","360000","170","","Particuliers","68000","20/03/2018  11:31","1395678144","www.leboncoin.fr/ventes_immobilieres/1395678144.htm?ca=1_s"
"4","Maison alsacienne pres d'obernai","Alsace"," Ventes immobilières ","Maison","390000","267","350.0","Particuliers","67530","20/03/2018  11:21","1396701958","www.leboncoin.fr/ventes_immobilieres/1396701958.htm?ca=1_s"
"5","Très belle maison contemporaine 170 M2 de 2003","Alsace"," Ventes immobilières ","Maison","399000","170","4200.0","Particuliers","67480","20/03/2018  10:49","1396684852","www.leboncoin.fr/ventes_immobilieres/1396684852.htm?ca=1_s"
"6","Coup de cœur assuré magnifique maison","Alsace"," Ventes immobilières ","Maison","369000","196","1600.0","Particuliers","67440","20/03/2018  09:55","1399651284","www.leboncoin.fr/ventes_immobilieres/1399651284.htm?ca=1_s"
"7","Appartement 108 m2 dans résidence 2 appartements","Alsace"," Ventes immobilières ","Appartement","366000","108","500.0","Particuliers","68870","20/03/2018  09:26","1398623381","www.leboncoin.fr/ventes_immobilieres/1398623381.htm?ca=1_s"
"8","Maison de village","Alsace"," Ventes immobilières ","Maison","354000","180","","Particuliers","68220","20/03/2018  00:27","1403173382","www.leboncoin.fr/ventes_immobilieres/1403173382.htm?ca=1_s"
